Ensembl.Gene.ID;GFP1;GFP2;GFP3;S1;S2;S3
ENSMUSG00000019564;26;24;27;60;48;44
ENSMUSG00000019577;56;44;35;128;124;96
ENSMUSG00000019792;197;241;289;408;363;366
ENSMUSG00000019796;6;14;6;23;25;32
ENSMUSG00000019810;67;69;57;182;147;138
ENSMUSG00000019823;8;12;12;56;47;40
ENSMUSG00000019929;1;0;0;22;16;26
ENSMUSG00000019944;88;98;97;175;152;165
ENSMUSG00000019970;775;810;732;2035;1774;1741
ENSMUSG00000019997;128;154;148;712;527;635
ENSMUSG00000020000;0;1;1;15;14;13
ENSMUSG00000020032;544;592;606;1092;875;935
ENSMUSG00000020048;4083;4387;4313;7481;6606;6652
ENSMUSG00000020092;81;103;107;186;148;151
ENSMUSG00000020154;3;3;3;246;242;238
ENSMUSG00000020176;87;111;75;1159;1049;1059
ENSMUSG00000020181;654;699;847;1416;1131;1158
ENSMUSG00000020186;162;196;174;276;283;255
ENSMUSG00000020225;134;184;186;267;244;267
ENSMUSG00000020241;24;25;19;77;56;76
ENSMUSG00000020260;315;302;296;498;491;496
ENSMUSG00000020262;187;174;207;626;522;485
ENSMUSG00000020312;1;3;4;19;25;17
ENSMUSG00000020377;138;161;144;315;323;307
ENSMUSG00000020400;333;349;317;545;495;518
ENSMUSG00000020423;181;173;190;440;379;378
ENSMUSG00000020427;129;133;126;214;201;207
ENSMUSG00000020484;366;349;321;599;534;562
ENSMUSG00000020553;12;11;4;31;26;32
ENSMUSG00000020589;15;21;22;67;51;62
ENSMUSG00000020609;1;1;3;21;16;20
ENSMUSG00000020614;546;609;629;986;859;933
ENSMUSG00000020654;17;16;12;130;111;120
ENSMUSG00000020671;583;638;604;1079;921;970
ENSMUSG00000020674;645;775;827;1219;1054;1106
ENSMUSG00000020689;66;91;90;276;198;185
ENSMUSG00000020721;544;662;637;1029;879;894
ENSMUSG00000020733;46;70;64;122;114;96
ENSMUSG00000020806;159;171;129;241;211;241
ENSMUSG00000020836;58;61;70;131;140;133
ENSMUSG00000020838;2;0;0;13;13;3
ENSMUSG00000020848;4;5;0;18;14;20
ENSMUSG00000020882;13;12;21;35;49;36
ENSMUSG00000020901;72;77;72;197;175;192
ENSMUSG00000021260;126;147;129;284;227;226
ENSMUSG00000021285;76;101;89;177;143;188
ENSMUSG00000021360;49;53;53;91;85;89
ENSMUSG00000021367;21;31;22;94;95;96
ENSMUSG00000021457;30;31;34;80;79;67
ENSMUSG00000021493;575;624;616;1082;897;962
ENSMUSG00000021611;5;4;6;135;105;90
ENSMUSG00000021614;301;349;350;635;489;562
ENSMUSG00000021662;85;89;96;238;191;195
ENSMUSG00000021732;9;9;6;29;22;20
ENSMUSG00000021779;269;304;384;681;543;567
ENSMUSG00000021822;70;75;72;240;230;200
ENSMUSG00000021913;64;71;64;99;115;95
ENSMUSG00000021948;3;2;0;97;107;106
ENSMUSG00000022037;5;6;3;12;17;29
ENSMUSG00000022074;128;120;138;240;217;215
ENSMUSG00000022098;344;398;429;715;592;609
ENSMUSG00000022144;388;448;449;754;634;646
ENSMUSG00000022146;153;171;170;320;265;258
ENSMUSG00000022206;112;115;127;258;241;237
ENSMUSG00000022231;507;593;679;1105;978;1051
ENSMUSG00000022297;5;6;6;53;46;35
ENSMUSG00000022299;72;87;58;119;118;104
ENSMUSG00000022305;184;215;225;418;306;355
ENSMUSG00000022311;25;39;45;182;138;156
ENSMUSG00000022325;571;610;596;1164;897;846
ENSMUSG00000022358;52;53;35;139;88;97
ENSMUSG00000022367;6;7;1;25;15;28
ENSMUSG00000022378;573;660;669;1107;916;941
ENSMUSG00000022412;552;607;542;1021;945;941
ENSMUSG00000022414;388;426;443;757;676;699
ENSMUSG00000022420;207;260;251;375;359;338
ENSMUSG00000022426;924;1054;977;1632;1512;1532
ENSMUSG00000022427;716;739;756;1229;1133;1078
ENSMUSG00000022433;485;549;516;1100;972;918
ENSMUSG00000022440;280;293;259;841;757;742
ENSMUSG00000022469;205;225;229;459;417;395
ENSMUSG00000022479;112;111;100;314;277;288
ENSMUSG00000022489;14;18;19;86;74;72
ENSMUSG00000022498;299;322;349;559;451;464
ENSMUSG00000022515;192;212;221;398;305;313
ENSMUSG00000022519;78;81;90;186;170;155
ENSMUSG00000022546;39;46;43;73;70;71
ENSMUSG00000022557;980;1013;919;1611;1462;1522
ENSMUSG00000022587;760;927;772;3572;3532;3515
ENSMUSG00000022602;11;6;8;77;62;59
ENSMUSG00000022610;1;3;5;12;17;12
ENSMUSG00000022661;59;65;68;150;139;118
ENSMUSG00000022665;11;10;8;96;87;64
ENSMUSG00000022704;351;390;413;654;558;522
ENSMUSG00000022750;254;308;288;638;620;603
ENSMUSG00000022768;14;17;24;57;62;63
ENSMUSG00000022769;73;78;78;148;108;131
ENSMUSG00000022788;14;17;16;51;38;34
ENSMUSG00000022799;159;146;144;342;271;261
ENSMUSG00000022816;2039;2261;2221;4143;3774;3897
ENSMUSG00000022885;22;29;43;121;103;113
ENSMUSG00000022894;172;252;244;365;313;342
ENSMUSG00000022906;135;161;135;336;286;279
ENSMUSG00000022912;131;147;137;280;265;291
ENSMUSG00000022947;66;63;40;107;86;107
ENSMUSG00000022995;729;880;776;1292;1204;1163
ENSMUSG00000023009;103;128;127;220;183;193
ENSMUSG00000023169;197;246;222;1021;923;839
ENSMUSG00000023206;20;24;24;167;119;111
ENSMUSG00000023232;0;0;0;7;8;2
ENSMUSG00000023800;223;258;298;480;375;423
ENSMUSG00000023886;28;27;31;532;473;454
ENSMUSG00000023915;101;96;89;211;194;163
ENSMUSG00000024066;277;268;254;533;455;454
ENSMUSG00000024127;352;406;343;600;510;538
ENSMUSG00000024155;3;1;1;11;9;13
ENSMUSG00000024164;22;34;30;113;103;119
ENSMUSG00000024268;8;7;10;72;47;44
ENSMUSG00000024330;83;102;110;277;208;195
ENSMUSG00000024349;7;9;5;28;31;30
ENSMUSG00000024423;476;515;523;1029;874;822
ENSMUSG00000024593;104;118;111;414;346;351
ENSMUSG00000024736;352;366;381;612;508;599
ENSMUSG00000024743;172;203;191;319;310;279
ENSMUSG00000024754;278;289;300;531;406;439
ENSMUSG00000024778;136;146;158;300;227;273
ENSMUSG00000024793;23;29;28;71;63;58
ENSMUSG00000024803;16;18;11;59;40;58
ENSMUSG00000024867;25;46;37;121;84;88
ENSMUSG00000024910;8;13;6;37;30;36
ENSMUSG00000024913;43;56;52;368;305;325
ENSMUSG00000024921;150;143;166;794;736;676
ENSMUSG00000024940;1119;1297;1283;2311;2083;2130
ENSMUSG00000025321;217;236;264;473;351;375
ENSMUSG00000025348;134;149;152;293;238;256
ENSMUSG00000025352;80;82;85;172;154;133
ENSMUSG00000025355;23;25;16;69;61;70
ENSMUSG00000025429;14;21;24;43;35;50
ENSMUSG00000025475;5;7;9;38;27;39
ENSMUSG00000025534;416;463;445;733;637;659
ENSMUSG00000025580;615;696;608;1183;1017;1082
ENSMUSG00000025591;174;174;185;290;280;235
ENSMUSG00000025650;26;15;28;58;55;49
ENSMUSG00000025743;663;686;705;1143;1040;1024
ENSMUSG00000025823;830;900;852;1656;1427;1561
ENSMUSG00000025854;147;149;156;277;248;263
ENSMUSG00000025856;212;231;185;493;439;440
ENSMUSG00000025857;243;243;266;430;352;403
ENSMUSG00000025921;252;275;269;608;624;573
ENSMUSG00000025940;230;213;252;454;405;381
ENSMUSG00000025959;390;492;521;906;744;737
ENSMUSG00000026043;4740;5150;5182;13153;11600;12090
ENSMUSG00000026068;432;450;471;1266;1159;1139
ENSMUSG00000026069;299;348;280;1170;972;982
ENSMUSG00000026072;152;161;155;306;267;270
ENSMUSG00000026080;3;9;11;37;23;25
ENSMUSG00000026102;83;111;96;168;132;140
ENSMUSG00000026177;6;2;0;13;17;18
ENSMUSG00000026204;2;10;14;50;60;36
ENSMUSG00000026207;292;337;304;661;514;552
ENSMUSG00000026211;199;265;251;495;467;476
ENSMUSG00000026259;63;70;72;158;140;124
ENSMUSG00000026269;122;154;111;217;201;237
ENSMUSG00000026308;156;156;136;313;299;292
ENSMUSG00000026414;83;64;70;441;444;401
ENSMUSG00000026430;121;160;144;267;212;232
ENSMUSG00000026494;258;282;320;656;507;538
ENSMUSG00000026576;58;40;33;155;149;145
ENSMUSG00000026589;10;12;7;131;93;113
ENSMUSG00000026620;64;73;67;188;183;176
ENSMUSG00000026628;62;70;73;121;114;107
ENSMUSG00000026675;181;206;197;330;283;290
ENSMUSG00000026676;13;11;28;68;68;69
ENSMUSG00000026773;89;87;88;177;157;165
ENSMUSG00000026817;639;660;559;1050;961;959
ENSMUSG00000026833;41;38;41;113;113;107
ENSMUSG00000026837;2426;2784;2762;6867;5898;5949
ENSMUSG00000026896;2;2;0;18;8;11
ENSMUSG00000026980;147;147;153;410;304;363
ENSMUSG00000027102;42;45;38;116;104;117
ENSMUSG00000027204;1696;2180;2094;3745;3190;3164
ENSMUSG00000027230;202;218;207;428;357;368
ENSMUSG00000027253;9;11;11;42;37;49
ENSMUSG00000027333;36;45;37;67;67;71
ENSMUSG00000027412;4;5;5;57;65;41
ENSMUSG00000027460;1;4;0;21;14;18
ENSMUSG00000027472;290;329;326;502;464;499
ENSMUSG00000027533;402;409;405;721;705;680
ENSMUSG00000027669;238;235;232;392;336;332
ENSMUSG00000027750;138;136;129;3674;3311;3326
ENSMUSG00000027800;29;40;33;560;528;554
ENSMUSG00000027820;906;930;1065;1730;1542;1712
ENSMUSG00000027848;60;55;45;218;145;154
ENSMUSG00000027859;113;139;172;318;211;256
ENSMUSG00000027894;6;5;2;49;32;28
ENSMUSG00000027919;7;4;8;61;48;51
ENSMUSG00000027985;111;122;110;343;300;292
ENSMUSG00000027995;59;71;47;151;109;133
ENSMUSG00000028128;85;97;88;184;154;150
ENSMUSG00000028195;595;772;851;1823;1542;1676
ENSMUSG00000028364;83;72;92;224;206;215
ENSMUSG00000028567;119;134;129;292;250;251
ENSMUSG00000028568;138;144;168;342;312;312
ENSMUSG00000028582;155;180;171;433;363;342
ENSMUSG00000028641;138;138;124;227;201;195
ENSMUSG00000028664;218;257;244;464;386;416
ENSMUSG00000028698;89;87;93;144;134;147
ENSMUSG00000028710;45;60;61;195;129;158
ENSMUSG00000028793;343;397;388;661;603;597
ENSMUSG00000028864;0;0;0;18;17;15
ENSMUSG00000028927;29;43;40;110;107;96
ENSMUSG00000028949;72;77;88;142;98;125
ENSMUSG00000028965;17;16;12;48;31;47
ENSMUSG00000029093;97;94;91;652;548;557
ENSMUSG00000029094;419;466;480;797;685;689
ENSMUSG00000029135;1164;1233;1202;2099;1777;1711
ENSMUSG00000029161;54;41;37;128;121;103
ENSMUSG00000029163;536;617;556;1497;1236;1333
ENSMUSG00000029217;107;79;93;177;132;127
ENSMUSG00000029231;62;96;76;297;270;265
ENSMUSG00000029304;4349;4587;4564;7758;7497;7670
ENSMUSG00000029337;1;3;2;64;74;50
ENSMUSG00000029344;286;342;339;639;483;572
ENSMUSG00000029377;160;198;200;405;355;359
ENSMUSG00000029380;87;84;82;177;158;162
ENSMUSG00000029386;51;65;45;100;78;98
ENSMUSG00000029570;89;116;104;165;153;144
ENSMUSG00000029580;21237;22708;20570;33428;31402;32050
ENSMUSG00000029581;2264;2547;2302;3941;3615;3582
ENSMUSG00000029591;101;125;107;188;186;183
ENSMUSG00000029636;27;35;42;75;55;65
ENSMUSG00000029642;429;456;395;692;655;625
ENSMUSG00000029657;889;904;914;1766;1462;1468
ENSMUSG00000029661;13366;15119;15108;24804;20631;20338
ENSMUSG00000029821;42;47;52;94;79;70
ENSMUSG00000029829;0;0;0;89;79;83
ENSMUSG00000029860;999;1152;1116;1773;1577;1617
ENSMUSG00000030109;9;3;1;56;43;39
ENSMUSG00000030276;97;98;116;177;150;151
ENSMUSG00000030292;0;0;0;15;16;8
ENSMUSG00000030319;61;70;58;190;168;223
ENSMUSG00000030329;2;0;1;76;69;67
ENSMUSG00000030562;101;106;128;566;464;487
ENSMUSG00000030598;65;76;46;136;95;120
ENSMUSG00000030600;0;0;2;21;22;20
ENSMUSG00000030616;17;16;14;117;82;95
ENSMUSG00000030630;104;115;123;250;230;189
ENSMUSG00000030761;187;216;225;1092;920;914
ENSMUSG00000030946;46;42;46;150;145;128
ENSMUSG00000031169;41;45;54;98;80;79
ENSMUSG00000031253;4;1;1;92;107;104
ENSMUSG00000031273;9;5;8;81;69;82
ENSMUSG00000031342;28;37;30;162;139;135
ENSMUSG00000031371;207;204;207;593;505;474
ENSMUSG00000031380;118;125;118;227;159;163
ENSMUSG00000031383;11;12;12;141;149;139
ENSMUSG00000031387;0;0;1;92;75;74
ENSMUSG00000031389;16;14;20;43;29;37
ENSMUSG00000031442;17;10;19;84;58;54
ENSMUSG00000031502;41;36;33;327;247;256
ENSMUSG00000031503;7;12;23;314;278;308
ENSMUSG00000031520;33;41;66;224;178;219
ENSMUSG00000031523;278;325;282;580;543;547
ENSMUSG00000031538;24;33;35;63;50;54
ENSMUSG00000031565;530;549;538;1021;929;861
ENSMUSG00000031608;349;335;392;657;497;489
ENSMUSG00000031647;53;51;61;118;91;97
ENSMUSG00000031659;197;217;215;1151;977;1048
ENSMUSG00000031730;130;123;107;192;174;174
ENSMUSG00000031740;1468;1620;1625;3949;3521;3747
ENSMUSG00000031778;306;392;346;685;599;562
ENSMUSG00000031788;167;181;195;365;266;311
ENSMUSG00000031799;1721;1813;1613;3099;2884;2805
ENSMUSG00000031827;58;54;55;148;139;163
ENSMUSG00000031862;519;624;609;952;828;870
ENSMUSG00000031903;81;95;77;125;137;118
ENSMUSG00000031904;415;389;457;725;595;630
ENSMUSG00000031906;29;17;31;125;116;147
ENSMUSG00000031930;800;842;909;1564;1367;1283
ENSMUSG00000031963;53;70;72;145;107;148
ENSMUSG00000031965;0;0;0;11;8;12
ENSMUSG00000032000;0;2;2;16;8;14
ENSMUSG00000032036;131;131;229;332;267;307
ENSMUSG00000032057;26;34;48;83;47;72
ENSMUSG00000032086;533;593;517;986;852;947
ENSMUSG00000032109;0;1;0;12;7;8
ENSMUSG00000032185;609;688;631;1256;1135;1144
ENSMUSG00000032262;26;41;28;75;56;58
ENSMUSG00000032281;26;42;26;225;189;189
ENSMUSG00000032332;1612;1970;2006;4297;3514;3623
ENSMUSG00000032340;816;957;956;1553;1313;1379
ENSMUSG00000032363;43;46;57;247;279;276
ENSMUSG00000032372;280;308;279;502;449;402
ENSMUSG00000032373;10;10;11;118;106;120
ENSMUSG00000032387;194;164;171;402;326;327
ENSMUSG00000032392;35;36;42;66;76;60
ENSMUSG00000032420;99;117;111;560;542;520
ENSMUSG00000032511;0;0;0;15;14;15
ENSMUSG00000032561;0;0;2;21;17;17
ENSMUSG00000032575;519;570;520;855;781;804
ENSMUSG00000032640;480;466;533;836;729;709
ENSMUSG00000032766;60;65;74;116;120;115
ENSMUSG00000032834;516;541;524;882;727;769
ENSMUSG00000033016;183;211;175;498;467;489
ENSMUSG00000033020;280;294;258;452;440;387
ENSMUSG00000033039;562;658;550;1113;1016;986
ENSMUSG00000033055;192;223;199;317;337;303
ENSMUSG00000033099;233;245;258;418;375;380
ENSMUSG00000033128;610;724;666;1224;1085;1146
ENSMUSG00000033170;241;259;224;1039;884;878
ENSMUSG00000033192;17;31;43;79;46;59
ENSMUSG00000033207;13;21;23;76;64;61
ENSMUSG00000033209;254;354;361;835;687;714
ENSMUSG00000033287;686;784;676;1707;1547;1593
ENSMUSG00000033350;104;116;124;180;169;170
ENSMUSG00000033434;129;145;143;245;226;216
ENSMUSG00000033542;7;10;9;275;214;223
ENSMUSG00000033576;2;6;6;28;16;25
ENSMUSG00000033585;9;13;9;47;56;49
ENSMUSG00000033685;178;171;139;307;273;312
ENSMUSG00000033697;197;231;259;437;338;394
ENSMUSG00000033880;182;208;191;342;288;313
ENSMUSG00000033909;635;731;727;1183;1018;942
ENSMUSG00000034118;213;210;183;349;309;340
ENSMUSG00000034121;46;47;49;86;86;70
ENSMUSG00000034161;169;195;169;370;325;370
ENSMUSG00000034173;52;55;54;110;85;100
ENSMUSG00000034330;88;102;125;284;194;196
ENSMUSG00000034334;23;20;22;63;50;49
ENSMUSG00000034422;73;99;95;307;263;198
ENSMUSG00000034462;614;655;729;1288;1059;1095
ENSMUSG00000034485;280;294;285;497;485;422
ENSMUSG00000034557;178;217;207;503;413;381
ENSMUSG00000034573;291;381;354;595;501;470
ENSMUSG00000034612;77;69;98;449;370;425
ENSMUSG00000034616;1;4;6;93;72;74
ENSMUSG00000034686;63;78;55;162;128;116
ENSMUSG00000034765;68;89;66;173;178;158
ENSMUSG00000034854;67;58;66;123;112;111
ENSMUSG00000034930;93;112;108;217;186;163
ENSMUSG00000035105;1;5;2;12;16;13
ENSMUSG00000035206;260;294;315;481;446;456
ENSMUSG00000035232;155;139;132;237;229;233
ENSMUSG00000035246;139;168;173;275;207;242
ENSMUSG00000035356;260;251;293;652;450;491
ENSMUSG00000035373;231;249;225;700;557;581
ENSMUSG00000035376;255;311;295;508;375;461
ENSMUSG00000035385;435;439;497;1263;1122;1100
ENSMUSG00000035390;34;40;66;118;89;87
ENSMUSG00000035513;7;17;10;33;27;34
ENSMUSG00000035569;1412;1643;1680;5535;4765;4671
ENSMUSG00000035891;212;266;271;560;524;506
ENSMUSG00000035934;118;136;156;337;228;277
ENSMUSG00000036030;83;79;88;173;147;162
ENSMUSG00000036036;71;68;93;188;140;138
ENSMUSG00000036067;11;12;9;32;31;24
ENSMUSG00000036103;558;538;622;990;737;891
ENSMUSG00000036136;52;56;59;109;91;77
ENSMUSG00000036192;38;50;67;246;227;235
ENSMUSG00000036206;294;249;241;525;418;434
ENSMUSG00000036246;139;160;191;303;224;260
ENSMUSG00000036256;627;662;715;1521;1286;1372
ENSMUSG00000036273;468;571;593;1163;934;924
ENSMUSG00000036292;2;3;3;11;16;15
ENSMUSG00000036334;33;40;36;103;90;83
ENSMUSG00000036356;93;123;116;353;267;290
ENSMUSG00000036381;4;1;5;72;70;81
ENSMUSG00000036564;5;5;10;60;27;48
ENSMUSG00000036599;77;84;86;160;155;125
ENSMUSG00000036908;0;0;0;9;7;9
ENSMUSG00000036975;36;47;47;133;81;84
ENSMUSG00000037035;85;108;115;414;319;362
ENSMUSG00000037185;72;82;95;275;282;281
ENSMUSG00000037225;42;52;44;117;105;110
ENSMUSG00000037341;2;7;4;34;27;19
ENSMUSG00000037375;91;77;120;165;139;162
ENSMUSG00000037408;159;200;180;449;388;391
ENSMUSG00000037411;528;609;508;1383;1089;1188
ENSMUSG00000037568;98;84;120;192;176;155
ENSMUSG00000037613;43;40;49;119;106;107
ENSMUSG00000037617;87;97;90;175;154;160
ENSMUSG00000037936;480;561;487;911;766;751
ENSMUSG00000037940;10;4;9;37;25;30
ENSMUSG00000037946;161;181;163;328;233;323
ENSMUSG00000038072;127;152;159;258;208;201
ENSMUSG00000038151;0;3;5;16;15;16
ENSMUSG00000038168;61;73;92;569;489;469
ENSMUSG00000038264;28;38;36;324;297;320
ENSMUSG00000038295;14;16;12;68;55;49
ENSMUSG00000038342;235;270;272;492;379;393
ENSMUSG00000038393;265;319;286;537;461;538
ENSMUSG00000038400;478;529;529;1550;1375;1394
ENSMUSG00000038463;60;73;70;111;108;114
ENSMUSG00000038521;64;30;69;194;149;162
ENSMUSG00000038594;106;143;110;227;177;179
ENSMUSG00000038756;2;2;2;14;13;11
ENSMUSG00000038765;2;2;1;31;16;25
ENSMUSG00000038855;22;39;38;279;263;263
ENSMUSG00000038963;46;67;55;234;180;218
ENSMUSG00000039103;38;43;50;100;78;79
ENSMUSG00000039115;4;0;6;21;17;19
ENSMUSG00000039236;39;46;28;60;80;62
ENSMUSG00000039316;263;324;330;543;532;551
ENSMUSG00000039385;2;2;3;32;26;34
ENSMUSG00000039395;128;126;133;267;209;239
ENSMUSG00000039427;170;194;179;308;252;258
ENSMUSG00000039478;149;166;172;270;222;261
ENSMUSG00000039542;1253;1474;1487;2379;2019;2240
ENSMUSG00000039621;2;5;2;21;14;17
ENSMUSG00000039747;138;165;139;313;287;256
ENSMUSG00000039814;2;2;1;44;39;36
ENSMUSG00000039911;87;88;105;183;137;136
ENSMUSG00000039929;431;445;493;843;668;717
ENSMUSG00000039976;62;78;62;188;160;174
ENSMUSG00000040118;400;449;501;913;772;784
ENSMUSG00000040152;1761;2046;2102;4989;4125;4289
ENSMUSG00000040163;0;0;0;15;20;20
ENSMUSG00000040183;3;10;11;28;22;20
ENSMUSG00000040209;282;321;302;565;462;483
ENSMUSG00000040260;59;63;68;185;117;132
ENSMUSG00000040268;688;724;711;1194;1002;1031
ENSMUSG00000040310;1;5;4;27;24;35
ENSMUSG00000040430;95;99;123;196;163;170
ENSMUSG00000040464;102;119;115;230;206;202
ENSMUSG00000040488;127;169;140;287;275;324
ENSMUSG00000040543;2;0;1;16;14;6
ENSMUSG00000040562;81;68;77;187;163;153
ENSMUSG00000040649;1;0;3;18;10;9
ENSMUSG00000040690;102;122;94;491;407;431
ENSMUSG00000040699;66;71;56;198;176;188
ENSMUSG00000040811;12;9;9;85;84;63
ENSMUSG00000040848;233;257;222;476;433;411
ENSMUSG00000040852;7;8;10;178;161;171
ENSMUSG00000041180;44;62;52;89;92;81
ENSMUSG00000041298;82;78;69;144;111;97
ENSMUSG00000041324;84;98;82;208;188;165
ENSMUSG00000041482;8;8;5;96;85;87
ENSMUSG00000041540;19;14;22;58;44;54
ENSMUSG00000041605;45;48;54;211;186;185
ENSMUSG00000041703;2;4;1;70;56;51
ENSMUSG00000041729;29;36;32;87;92;79
ENSMUSG00000041731;9;12;12;260;205;214
ENSMUSG00000041774;72;108;99;229;170;210
ENSMUSG00000041886;26;21;33;62;50;49
ENSMUSG00000041895;246;281;224;413;377;361
ENSMUSG00000041926;302;346;301;526;500;482
ENSMUSG00000041957;142;167;170;279;251;312
ENSMUSG00000042155;42;34;36;77;75;65
ENSMUSG00000042207;314;328;328;690;560;574
ENSMUSG00000042286;4;3;3;243;194;190
ENSMUSG00000042439;107;113;122;397;333;292
ENSMUSG00000042485;40;32;34;75;63;67
ENSMUSG00000042524;825;947;965;1583;1374;1458
ENSMUSG00000042535;607;753;593;1216;1120;1141
ENSMUSG00000042622;48;46;45;121;121;120
ENSMUSG00000042632;285;318;363;728;571;630
ENSMUSG00000042659;48;59;45;119;113;103
ENSMUSG00000042793;22;22;13;103;103;108
ENSMUSG00000042804;12;22;18;61;33;54
ENSMUSG00000042810;7;11;12;46;23;30
ENSMUSG00000042821;162;173;171;304;303;259
ENSMUSG00000042834;80;93;91;255;252;252
ENSMUSG00000043004;13;20;15;286;261;268
ENSMUSG00000043067;894;1039;891;1623;1421;1416
ENSMUSG00000043153;1;0;6;25;21;20
ENSMUSG00000043336;422;383;424;868;717;763
ENSMUSG00000043391;16;13;14;75;93;99
ENSMUSG00000043439;83;86;80;160;105;132
ENSMUSG00000043456;17;14;23;159;157;142
ENSMUSG00000043964;58;62;55;95;99;95
ENSMUSG00000043969;32;13;20;52;45;52
ENSMUSG00000044250;30;38;49;120;94;92
ENSMUSG00000044288;10;17;9;32;27;43
ENSMUSG00000044320;27;20;17;70;77;51
ENSMUSG00000044340;286;323;398;603;547;532
ENSMUSG00000044367;128;151;125;249;243;195
ENSMUSG00000044456;98;114;112;367;288;342
ENSMUSG00000044528;9;8;5;69;45;66
ENSMUSG00000044629;5;6;8;47;40;52
ENSMUSG00000044676;0;0;0;8;12;5
ENSMUSG00000044986;91;95;90;171;151;142
ENSMUSG00000045107;3;1;1;56;35;45
ENSMUSG00000045672;54;63;66;197;153;150
ENSMUSG00000045709;0;0;1;19;8;15
ENSMUSG00000045790;0;7;7;29;32;43
ENSMUSG00000046152;107;117;120;215;173;173
ENSMUSG00000046157;16;7;11;33;32;31
ENSMUSG00000046169;193;200;278;670;535;533
ENSMUSG00000046318;28;32;35;473;391;376
ENSMUSG00000046532;37;48;52;354;296;311
ENSMUSG00000046561;36;36;53;106;67;87
ENSMUSG00000046572;40;37;34;192;195;177
ENSMUSG00000046623;41;46;53;107;96;82
ENSMUSG00000046718;25;39;28;125;108;97
ENSMUSG00000046761;37;40;20;84;96;80
ENSMUSG00000046808;80;61;87;136;113;112
ENSMUSG00000047139;9;15;11;57;57;50
ENSMUSG00000047146;21;25;26;53;49;44
ENSMUSG00000047221;218;221;232;510;410;436
ENSMUSG00000047250;194;202;200;437;368;384
ENSMUSG00000047443;2;3;2;131;105;130
ENSMUSG00000047496;2;7;6;56;31;47
ENSMUSG00000047497;217;243;312;766;566;620
ENSMUSG00000047638;7;7;5;46;36;38
ENSMUSG00000047712;237;257;326;633;513;546
ENSMUSG00000047747;115;134;148;338;237;255
ENSMUSG00000047759;29;27;31;187;162;148
ENSMUSG00000047767;73;74;89;141;105;113
ENSMUSG00000047945;155;169;137;466;395;436
ENSMUSG00000048126;1;2;1;69;61;60
ENSMUSG00000048186;11;14;17;56;39;36
ENSMUSG00000048218;14;20;21;55;53;58
ENSMUSG00000048429;144;142;156;247;219;242
ENSMUSG00000048450;18;28;17;48;60;63
ENSMUSG00000048782;29;23;40;236;195;209
ENSMUSG00000049184;92;84;122;166;129;157
ENSMUSG00000049382;7;5;1;19;28;28
ENSMUSG00000049502;159;169;180;436;412;377
ENSMUSG00000049521;496;553;521;1382;1219;1284
ENSMUSG00000049604;0;0;0;19;16;20
ENSMUSG00000049719;3;2;3;17;16;31
ENSMUSG00000049866;370;404;332;810;738;773
ENSMUSG00000050138;2;0;0;30;26;25
ENSMUSG00000050271;143;172;208;413;328;333
ENSMUSG00000050447;2;8;9;49;43;53
ENSMUSG00000050545;0;1;3;17;7;10
ENSMUSG00000050627;277;270;262;424;392;411
ENSMUSG00000051166;44;58;61;146;107;122
ENSMUSG00000051331;268;292;414;725;572;645
ENSMUSG00000051359;20;16;14;63;49;46
ENSMUSG00000051439;1;1;0;19;23;24
ENSMUSG00000051518;155;168;156;287;283;305
ENSMUSG00000051537;2;6;8;24;30;36
ENSMUSG00000051817;159;158;150;305;298;314
ENSMUSG00000052085;296;353;321;993;881;906
ENSMUSG00000052353;98;102;124;196;162;170
ENSMUSG00000052516;99;143;153;375;309;306
ENSMUSG00000052560;926;991;1086;1715;1458;1454
ENSMUSG00000053007;35;41;39;98;94;98
ENSMUSG00000053137;60;80;56;136;102;124
ENSMUSG00000053219;11;9;11;37;27;33
ENSMUSG00000053475;24;10;23;60;48;50
ENSMUSG00000053560;240;273;230;398;357;371
ENSMUSG00000053846;7;20;19;67;51;52
ENSMUSG00000054364;241;256;241;572;534;599
ENSMUSG00000054453;2;2;0;32;30;22
ENSMUSG00000054520;126;133;123;246;224;202
ENSMUSG00000054555;111;86;96;773;630;626
ENSMUSG00000054728;7;12;7;23;34;17
ENSMUSG00000054863;0;0;0;15;15;13
ENSMUSG00000054942;1;3;4;25;18;11
ENSMUSG00000055148;30;24;30;166;112;135
ENSMUSG00000055172;146;149;142;212;208;258
ENSMUSG00000055403;6;4;7;113;83;99
ENSMUSG00000055629;26;25;22;105;105;91
ENSMUSG00000055632;4;8;9;30;15;25
ENSMUSG00000055737;282;351;390;619;483;542
ENSMUSG00000056313;55;80;71;197;144;168
ENSMUSG00000056476;6;8;3;23;29;17
ENSMUSG00000056665;157;177;160;321;300;312
ENSMUSG00000056679;2;1;2;24;19;27
ENSMUSG00000056888;6;7;11;30;29;23
ENSMUSG00000057098;195;214;236;529;407;424
ENSMUSG00000057234;55;47;79;122;123;114
ENSMUSG00000057337;15;12;17;97;83;80
ENSMUSG00000058056;839;924;909;2300;1836;1984
ENSMUSG00000059182;74;77;106;252;201;176
ENSMUSG00000059411;0;0;0;7;5;5
ENSMUSG00000059456;0;1;1;37;28;31
ENSMUSG00000059493;159;128;165;297;227;218
ENSMUSG00000059776;15;18;25;50;48;41
